id_measurement,id_rp,id_sensor,temperature,measured_date,humidity,save_date
222,1,1,21,2021-04-24 08:22:50.368979+02,42,2021-04-26 09:39:21.100439
223,1,1,21,2021-04-24 08:27:50.469213+02,42,2021-04-26 09:39:21.241911
224,1,1,21,2021-04-24 08:32:50.569243+02,42,2021-04-26 09:39:21.397885
225,1,1,21,2021-04-24 08:37:50.669401+02,42,2021-04-26 09:39:21.53908
226,1,1,21,2021-04-24 08:42:50.769539+02,42,2021-04-26 09:39:21.676752
227,1,1,21,2021-04-24 08:47:50.86975+02,42,2021-04-26 09:39:21.888789
228,1,1,21,2021-04-24 08:52:50.969763+02,42,2021-04-26 09:39:22.231814
229,1,1,21,2021-04-24 08:57:51.069938+02,42,2021-04-26 09:39:22.684583
230,1,1,21,2021-04-24 09:02:51.170161+02,42,2021-04-26 09:39:23.28263
231,1,1,21,2021-04-24 09:07:51.270166+02,42,2021-04-26 09:39:23.586866
232,1,1,21,2021-04-24 09:12:51.370304+02,42,2021-04-26 09:39:23.911406
233,1,1,21,2021-04-24 09:17:51.470512+02,42,2021-04-26 09:39:24.208017
234,1,1,21,2021-04-24 09:22:51.8288+02,42,2021-04-26 09:39:24.503233
235,1,1,21,2021-04-24 09:27:51.928971+02,42,2021-04-26 09:39:24.788915
236,1,1,21,2021-04-24 09:32:52.021869+02,42,2021-04-26 09:39:25.083671
237,1,1,21,2021-04-24 09:37:52.122044+02,42,2021-04-26 09:39:25.419114
238,1,1,21,2021-04-24 09:42:52.214358+02,42,2021-04-26 09:39:25.621726
239,1,1,21,2021-04-24 09:47:52.314585+02,42,2021-04-26 09:39:25.770498
240,1,1,21,2021-04-24 09:52:52.414617+02,42,2021-04-26 09:39:25.935394
242,1,1,21,2021-04-24 10:02:52.61492+02,42,2021-04-26 09:39:26.218644
244,1,1,21,2021-04-24 10:12:52.815197+02,42,2021-04-26 09:39:26.513252
246,1,1,21,2021-04-24 10:22:53.27344+02,42,2021-04-26 09:39:26.806169
248,1,1,21,2021-04-24 10:32:53.473744+02,43,2021-04-26 09:39:27.108383
250,1,1,21,2021-04-24 10:42:53.673948+02,42,2021-04-26 09:39:27.39291
252,1,1,21,2021-04-24 10:52:53.873942+02,43,2021-04-26 09:39:27.673697
254,1,1,21,2021-04-24 11:02:54.074474+02,43,2021-04-26 09:39:27.953979
256,1,1,21,2021-04-24 11:12:54.274763+02,43,2021-04-26 09:39:28.226413
258,1,1,21,2021-04-24 11:22:54.38163+02,42,2021-04-26 09:39:28.522658
260,1,1,21,2021-04-24 11:32:54.532126+02,42,2021-04-26 09:39:28.808212
262,1,1,21,2021-04-24 11:42:54.732356+02,42,2021-04-26 09:39:29.081596
264,1,1,21,2021-04-24 11:52:54.87963+02,42,2021-04-26 09:39:29.362227
266,1,1,22,2021-04-24 12:02:55.079849+02,42,2021-04-26 09:39:29.653569
268,1,1,22,2021-04-24 12:12:55.28003+02,42,2021-04-26 09:39:29.939894
270,1,1,22,2021-04-24 12:22:55.750902+02,42,2021-04-26 09:39:30.218403
272,1,1,22,2021-04-24 12:32:55.871875+02,42,2021-04-26 09:39:30.504153
274,1,1,23,2021-04-24 12:42:56.072299+02,41,2021-04-26 09:39:30.79077
276,1,1,23,2021-04-24 12:52:56.272361+02,41,2021-04-26 09:39:31.066099
278,1,1,23,2021-04-24 13:02:56.472621+02,40,2021-04-26 09:39:31.366485
280,1,1,23,2021-04-24 13:12:56.673056+02,40,2021-04-26 09:39:31.666316
282,1,1,23,2021-04-24 13:22:56.872089+02,40,2021-04-26 09:39:31.977287
284,1,1,23,2021-04-24 13:32:57.071889+02,39,2021-04-26 09:39:32.290166
286,1,1,24,2021-04-24 13:42:57.271996+02,39,2021-04-26 09:39:32.580144
288,1,1,24,2021-04-24 13:52:57.472127+02,39,2021-04-26 09:39:32.880695
290,1,1,24,2021-04-24 14:02:57.67241+02,38,2021-04-26 09:39:33.163785
292,1,1,24,2021-04-24 14:12:57.872638+02,38,2021-04-26 09:39:33.458766
294,1,1,25,2021-04-24 14:22:58.07294+02,38,2021-04-26 09:39:33.734416
296,1,1,25,2021-04-24 14:32:58.27319+02,38,2021-04-26 09:39:34.013278
298,1,1,25,2021-04-24 14:42:58.473364+02,38,2021-04-26 09:39:34.299133
300,1,1,25,2021-04-24 14:52:58.673639+02,37,2021-04-26 09:39:34.602741
302,1,1,25,2021-04-24 15:02:58.800805+02,37,2021-04-26 09:39:34.890491
304,1,1,26,2021-04-24 15:12:58.988433+02,37,2021-04-26 09:39:35.193352
306,1,1,26,2021-04-24 15:22:59.189003+02,37,2021-04-26 09:39:35.471237
308,1,1,26,2021-04-24 15:32:59.38925+02,36,2021-04-26 09:39:35.764402
310,1,1,26,2021-04-24 15:42:59.572005+02,36,2021-04-26 09:39:36.15496
312,1,1,26,2021-04-24 15:52:59.771983+02,36,2021-04-26 09:39:36.438556
314,1,1,26,2021-04-24 16:02:59.972469+02,36,2021-04-26 09:39:36.731884
316,1,1,26,2021-04-24 16:13:00.161966+02,36,2021-04-26 09:39:37.035016
318,1,1,26,2021-04-24 16:23:00.362062+02,36,2021-04-26 09:39:37.336048
320,1,1,26,2021-04-24 16:33:00.820574+02,36,2021-04-26 09:39:37.62603
322,1,1,26,2021-04-24 16:43:01.278821+02,36,2021-04-26 09:39:37.913765
324,1,1,25,2021-04-24 16:53:01.478982+02,37,2021-04-26 09:39:38.19956
326,1,1,25,2021-04-24 17:03:01.631859+02,37,2021-04-26 09:39:38.501583
328,1,1,25,2021-04-24 17:13:01.777467+02,37,2021-04-26 09:39:38.778383
330,1,1,25,2021-04-24 17:23:01.978031+02,37,2021-04-26 09:39:39.05092
332,1,1,26,2021-04-24 17:33:02.11201+02,36,2021-04-26 09:39:39.332338
334,1,1,26,2021-04-24 17:43:02.511939+02,36,2021-04-26 09:39:39.609795
336,1,1,26,2021-04-24 17:53:02.712176+02,35,2021-04-26 09:39:39.891065
338,1,1,26,2021-04-24 18:03:03.111873+02,35,2021-04-26 09:39:40.185847
